Representative_Sequence	total_reads	total_reads_nc	total_reads_non_nc	perc_reads_in_nc	total_samp	num_nc_samp	num_non_nc_samp	perc_nc_samp
M06508_16_000000000-CMN9T_1_1101_21210_14059	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1101_15454_23853	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1101_21439_27191	91	91	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1102_7767_6943	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1102_14256_12916	561	50	511	8.912656	27	1	26	3.7037037037037033
M06508_16_000000000-CMN9T_1_1102_18530_15427	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1102_28344_19082	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1102_3332_21027	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1102_15426_25168	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1103_19435_6303	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1103_26896_8665	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1103_4201_10235	102	36	66	35.294118	6	1	5	16.666666666666664
M06508_16_000000000-CMN9T_1_1103_14235_12021	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1103_22540_14328	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1103_10453_16336	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1103_12976_27170	26	26	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1104_27837_10865	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1104_19766_19153	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1105_10235_2691	840	16	824	1.904762	53	1	52	1.8867924528301887
M06508_16_000000000-CMN9T_1_1105_22504_16697	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1105_7487_18641	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1105_23966_21999	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1105_24446_22010	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1105_24427_22014	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1105_5721_23266	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1106_23710_4159	27272	2	27270	0.007334	20	2	18	10
M06508_16_000000000-CMN9T_1_1106_7169_5054	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1106_19305_16601	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1106_20332_21201	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1106_24468_24971	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1106_16728_25263	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1107_18474_7858	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1107_8332_8911	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1107_10511_9307	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1107_23154_9501	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1107_6982_9878	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1107_15978_13310	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1108_21799_6816	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1108_4435_7202	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1108_4444_7218	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1108_12639_17932	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1108_3671_19101	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1109_15401_3541	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1109_3764_15925	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1110_15738_10465	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1110_9870_14884	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1110_28535_17150	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1111_11961_3430	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1111_3963_10873	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1111_19440_26729	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1111_15567_27004	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1112_6164_5252	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1112_14109_5564	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1112_20479_9907	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1112_29079_11420	337	1	336	0.296736	8	1	7	12.5
M06508_16_000000000-CMN9T_1_1112_2590_16071	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1112_14714_20409	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1112_11783_20993	2	2	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1113_27144_12448	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1113_12102_16472	5	1	4	20	5	1	4	20
M06508_16_000000000-CMN9T_1_1113_17390_16714	55	1	54	1.818182	21	1	20	4.761904761904762
M06508_16_000000000-CMN9T_1_1113_29052_18005	20	1	19	5	18	1	17	5.555555555555555
M06508_16_000000000-CMN9T_1_1114_13068_17735	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1114_18823_18487	2	2	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1114_20160_21463	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1114_18749_23424	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2101_15016_7890	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2101_27304_9738	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2101_16957_10183	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2101_19413_10947	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2101_5380_21281	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2102_10819_7150	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2102_9940_11061	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2102_17291_14034	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2102_9643_15583	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2102_25428_18385	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2102_4988_21294	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2102_14233_21393	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2102_14819_22438	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2103_8405_9943	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2103_10205_11007	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2103_5733_16494	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2103_12320_17428	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2103_23427_20026	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2104_3416_12127	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2104_21336_12133	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2104_6712_16358	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2104_17984_18013	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2104_18396_19389	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2104_15905_26881	2	2	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2105_10946_13804	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2105_20068_18747	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2105_27218_20435	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2105_8972_22526	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2106_8396_7757	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2106_28420_11749	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2106_12146_14532	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2106_29099_19208	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2107_12590_6989	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2107_13587_12735	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2107_25373_14229	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2108_14650_9262	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2108_5995_9544	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2108_2529_16848	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2109_18452_5945	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2109_23252_15493	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2109_22051_22810	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2110_6057_7943	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2110_17969_8925	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2110_19324_17248	2	2	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2110_20470_21631	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2111_13699_8235	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2111_24793_16338	2	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_2111_23428_20580	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2111_6569_25824	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2112_16455_8146	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2112_15395_18500	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2113_17026_11567	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2113_14875_12890	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2113_15341_17750	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2114_17038_3200	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2114_9103_4479	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2114_23023_7738	2	2	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2114_21397_8923	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2114_11378_9752	2	2	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2114_21339_13277	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2114_21946_17452	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2114_28942_18660	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2114_10004_28092	41	13	28	31.707317	14	2	12	14.285714285714285
M06508_16_000000000-CMN9T_1_1101_6207_5453	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1101_24537_5713	821	691	130	84.165652	14	1	13	7.142857142857142
M06508_16_000000000-CMN9T_1_1101_10011_8093	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1101_20195_10745	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1101_8281_14434	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1101_24500_18410	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1101_23649_20221	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1101_22439_22495	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1101_17180_26054	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1102_22002_6925	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1102_9789_10209	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1102_20610_14203	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1102_10348_16239	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1102_27161_16853	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1102_23994_17415	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1102_4856_18717	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1103_14641_20971	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1104_3621_11339	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1104_20689_15592	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1104_15270_17439	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1104_19897_19344	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1104_11109_19688	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1105_19971_4058	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1106_15323_5083	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1106_6345_8133	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1106_22752_20542	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1106_20716_23985	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1107_15345_7274	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1107_10277_8049	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1107_16768_13084	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1107_29285_13579	29	29	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1107_21592_14581	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1107_5412_16517	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1108_17761_2588	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1108_7441_8574	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1108_17394_10706	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1108_13246_12103	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1108_24165_12918	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1108_9750_13339	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1108_16071_20670	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1108_12501_21963	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1108_23855_24222	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1109_18588_7723	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1109_3198_9592	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1109_28837_11616	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1109_3628_19180	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1109_16152_26697	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1110_9830_17592	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1110_5194_23245	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1110_22245_24491	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1110_7362_25622	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1111_14087_12145	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1111_14099_12167	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1111_4745_18632	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1111_14299_22074	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1111_13794_25596	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1112_15429_12817	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1112_8541_13399	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1112_8557_19883	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1113_17524_3044	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1113_17626_4130	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1113_19596_12771	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1113_13498_16055	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1114_8269_8836	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1114_26874_22369	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1114_12191_25010	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2101_15281_11645	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2101_14077_13333	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2101_17386_21011	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2102_22090_5167	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2102_14606_9464	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2102_15808_21672	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2103_19550_9956	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2104_9536_3105	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2104_11357_3348	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2104_9489_23118	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2104_17538_27841	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2105_24063_12432	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2105_10252_13381	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2105_27306_13856	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2105_28707_19800	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2106_24032_11722	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2106_6865_12410	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2106_20963_13964	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2106_8875_25773	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2107_16853_7397	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2107_6084_21234	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2108_8577_13638	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2108_18689_22525	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2108_16325_25782	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2109_17716_5136	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2109_12894_7743	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2109_5457_9689	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2109_28899_13043	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2109_14719_17312	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2109_25974_24004	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2109_10226_27290	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2110_13889_9225	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2110_22794_14374	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2110_4643_16157	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2110_10284_17956	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2110_21888_24047	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2111_26130_6204	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2111_26344_8310	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2111_5054_9294	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2111_4804_10061	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2111_23932_12525	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2111_14080_13899	3	3	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2111_13497_13931	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2111_26701_15688	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2112_19569_12002	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2112_24057_12213	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2112_23111_13157	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2112_28109_15206	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2112_19218_21622	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2113_9126_4571	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2113_17302_4715	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2113_15655_6910	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2113_14486_8143	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2113_24970_9520	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2114_27941_13807	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2114_2866_14434	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2114_12010_14876	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2114_25900_15898	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2114_28492_20172	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2114_25247_21611	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1101_25535_6490	637	543	94	85.243328	8	1	7	12.5
M06508_16_000000000-CMN9T_1_1101_20175_11961	11	11	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1101_2171_14152	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1101_27108_19007	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1102_13051_7200	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1102_6661_20968	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1102_19472_26295	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1103_26500_9342	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1103_25273_12576	4	4	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1103_7968_24458	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1103_21902_24904	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1103_17545_25917	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1104_13072_2007	2	2	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1104_9846_12154	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1104_15049_16624	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1104_21337_25411	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1105_8705_20157	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1106_24286_7923	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1107_28185_14886	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1107_18916_15559	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1107_27851_16510	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1107_17240_20919	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1107_21017_26217	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1108_19189_2950	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1108_22728_7795	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1108_28748_12132	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1108_17192_24606	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1108_21524_24694	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1108_6458_24961	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1109_13881_17260	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1109_7952_22638	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1110_15299_2170	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1113_26312_11707	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1113_26633_12125	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1113_25939_17621	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1113_26829_19406	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1114_24208_8558	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1114_12742_10906	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1114_22185_13834	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1114_14199_18319	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1114_15444_19557	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2101_12503_6560	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2101_28138_16342	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2102_11363_2654	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2102_14298_5338	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2102_26359_8098	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2102_27746_13414	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2102_17588_19191	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2102_21008_27987	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2102_18592_28051	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2103_23357_12023	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2103_22795_12622	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2104_22356_5430	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2104_17788_5492	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2104_24573_7896	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2104_3459_11893	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2104_13259_14970	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2104_11305_18034	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2104_17355_18286	2	2	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2104_11390_24912	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2105_9126_9331	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2105_27220_21290	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2105_14743_26316	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2105_14850_27302	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2106_20626_15049	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2106_26814_16446	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2106_26942_19930	1	1	0	100	1	1	0	100
